tweet,original_sentiment,conllu_parse
Retail stocks that could be best positioned for coronavirus outbreak via @YouTube,positive,"# text = Retail stocks that could be best positioned for coronavirus outbreak via @YouTube
1	Retail	retail	ADJ	JJ	_	2	amod	_	_
2	stocks	stock	NOUN	NNS	_	0	ROOT	_	_
3	that	that	PRON	WDT	_	5	nsubj	_	_
4	could	could	AUX	MD	_	5	aux	_	_
5	be	be	AUX	VB	_	2	relcl	_	_
6	best	well	ADV	RBS	_	7	advmod	_	_
7	positioned	position	VERB	VBN	_	5	acomp	_	_
8	for	for	ADP	IN	_	7	prep	_	_
9	coronavirus	coronavirus	NOUN	NN	_	10	compound	_	_
10	outbreak	outbreak	NOUN	NN	_	8	pobj	_	_
11	via	via	ADP	IN	_	7	prep	_	_
12	@YouTube	@youtube	NOUN	NN	_	11	pobj	_	_"
Coronavirus may have originated in lab linked to China's biowarfare program -,neutral,"# text = Coronavirus may have originated in lab linked to China's biowarfare program -
1	Coronavirus	Coronavirus	PROPN	NNP	_	4	nsubj	_	_
2	may	may	AUX	MD	_	4	aux	_	_
3	have	have	AUX	VB	_	4	aux	_	_
4	originated	originate	VERB	VBN	_	0	ROOT	_	_
5	in	in	ADP	IN	_	4	prep	_	_
6	lab	lab	NOUN	NN	_	5	pobj	_	_
7	linked	link	VERB	VBN	_	4	advcl	_	_
8	to	to	ADP	IN	_	7	prep	_	_
9	China	China	PROPN	NNP	_	12	poss	_	_
10	's	's	PART	POS	_	9	case	_	_
11	biowarfare	biowarfare	ADJ	JJ	_	12	amod	_	_
12	program	program	NOUN	NN	_	8	pobj	_	_
13	-	-	PUNCT	:	_	4	punct	_	_"
"Coronavirus kills 1,000th victim via @YouTube",negative,"# text = Coronavirus kills 1,000th victim via @YouTube
1	Coronavirus	Coronavirus	PROPN	NNP	_	2	nsubj	_	_
2	kills	kill	VERB	VBZ	_	0	ROOT	_	_
3	1,000th	1,000th	NUM	CD	_	4	amod	_	_
4	victim	victim	NOUN	NN	_	2	dobj	_	_
5	via	via	ADP	IN	_	2	prep	_	_
6	@YouTube	@youtube	NOUN	NN	_	5	pobj	_	_"
@Acyn And that is why Trump is safe from the corona virus 👍,positive,"# text = @Acyn
1	@Acyn	@acyn	X	ADD	_	0	ROOT	_	_

# text = And that is why Trump is safe from the corona virus 👍
1	And	and	CCONJ	CC	_	3	cc	_	_
2	that	that	PRON	DT	_	3	nsubj	_	_
3	is	be	AUX	VBZ	_	0	ROOT	_	_
4	why	why	SCONJ	WRB	_	6	advmod	_	_
5	Trump	Trump	PROPN	NNP	_	6	nsubj	_	_
6	is	be	AUX	VBZ	_	3	ccomp	_	_
7	safe	safe	ADJ	JJ	_	6	acomp	_	_
8	from	from	ADP	IN	_	7	prep	_	_
9	the	the	DET	DT	_	11	det	_	_
10	corona	corona	PROPN	NNP	_	11	compound	_	_
11	virus	virus	NOUN	NN	_	8	pobj	_	_
12	👍	👍	NOUN	NN	_	3	attr	_	_"
Coronavirus in your toilet? How a Hong Kong policy change on pipes may have caused this | South China Morning Post,negative,"# text = Coronavirus in your toilet?
1	Coronavirus	Coronavirus	PROPN	NNP	_	0	ROOT	_	_
2	in	in	ADP	IN	_	1	prep	_	_
3	your	your	PRON	PRP$	_	4	poss	_	_
4	toilet	toilet	NOUN	NN	_	2	pobj	_	_
5	?	?	PUNCT	.	_	1	punct	_	_

# text = How a Hong Kong policy change on pipes may have caused this | South China Morning Post
1	How	how	SCONJ	WRB	_	11	advmod	_	_
2	a	a	DET	DT	_	6	det	_	_
3	Hong	Hong	PROPN	NNP	_	4	compound	_	_
4	Kong	Kong	PROPN	NNP	_	6	compound	_	_
5	policy	policy	NOUN	NN	_	6	compound	_	_
6	change	change	NOUN	NN	_	11	nsubj	_	_
7	on	on	ADP	IN	_	6	prep	_	_
8	pipes	pipe	NOUN	NNS	_	7	pobj	_	_
9	may	may	AUX	MD	_	11	aux	_	_
10	have	have	AUX	VB	_	11	aux	_	_
11	caused	cause	VERB	VBN	_	0	ROOT	_	_
12	this	this	DET	DT	_	17	det	_	_
13	|	|	NOUN	NN	_	17	compound	_	_
14	South	South	PROPN	NNP	_	15	compound	_	_
15	China	China	PROPN	NNP	_	16	compound	_	_
16	Morning	Morning	PROPN	NNP	_	17	compound	_	_
17	Post	Post	PROPN	NNP	_	11	dobj	_	_"
Stop touching your face! #coronavirus #CoronaVirusUpdates #coronavirustx,positive,"# text = Stop touching your face!
1	Stop	stop	VERB	VB	_	0	ROOT	_	_
2	touching	touch	VERB	VBG	_	1	xcomp	_	_
3	your	your	PRON	PRP$	_	4	poss	_	_
4	face	face	NOUN	NN	_	2	dobj	_	_
5	!	!	PUNCT	.	_	1	punct	_	_

# text = #coronavirus #CoronaVirusUpdates #coronavirustx
1	#	#	SYM	$	_	4	quantmod	_	_
2	coronavirus	coronavirus	PROPN	NNP	_	3	compound	_	_
3	#	#	SYM	$	_	4	quantmod	_	_
4	CoronaVirusUpdates	coronavirusupdate	NOUN	NNS	_	6	compound	_	_
5	#	#	SYM	$	_	4	nsubj	_	_
6	coronavirustx	coronavirustx	NOUN	NN	_	0	ROOT	_	_"
Coronavirus: in search of the guilty animal,negative,"# text = Coronavirus: in search of the guilty animal
1	Coronavirus	Coronavirus	PROPN	NNP	_	0	ROOT	_	_
2	:	:	PUNCT	:	_	1	punct	_	_
3	in	in	ADP	IN	_	1	prep	_	_
4	search	search	NOUN	NN	_	3	pobj	_	_
5	of	of	ADP	IN	_	4	prep	_	_
6	the	the	DET	DT	_	8	det	_	_
7	guilty	guilty	ADJ	JJ	_	8	amod	_	_
8	animal	animal	NOUN	NN	_	5	pobj	_	_"
Donald Trump's war on coronavirus is just his latest war on truth | Jonathan Freedland,positive,"# text = Donald Trump's war on coronavirus is just his latest war on truth | Jonathan Freedland
1	Donald	Donald	PROPN	NNP	_	2	compound	_	_
2	Trump	Trump	PROPN	NNP	_	4	poss	_	_
3	's	's	PART	POS	_	2	case	_	_
4	war	war	NOUN	NN	_	7	nsubj	_	_
5	on	on	ADP	IN	_	4	prep	_	_
6	coronavirus	coronavirus	NOUN	NN	_	5	pobj	_	_
7	is	be	AUX	VBZ	_	0	ROOT	_	_
8	just	just	ADV	RB	_	11	advmod	_	_
9	his	his	PRON	PRP$	_	11	poss	_	_
10	latest	late	ADJ	JJS	_	11	amod	_	_
11	war	war	NOUN	NN	_	7	attr	_	_
12	on	on	ADP	IN	_	11	prep	_	_
13	truth	truth	NOUN	NN	_	12	pobj	_	_
14	|	|	PROPN	NNP	_	13	advmod	_	_
15	Jonathan	Jonathan	PROPN	NNP	_	16	compound	_	_
16	Freedland	Freedland	PROPN	NNP	_	11	appos	_	_"
@SimplyAJ10 I hope you don't get the coronavirus,neutral,"# text = @SimplyAJ10 I hope you don't get the coronavirus
1	@SimplyAJ10	@simplyaj10	INTJ	UH	_	3	npadvmod	_	_
2	I	I	PRON	PRP	_	3	nsubj	_	_
3	hope	hope	VERB	VBP	_	0	ROOT	_	_
4	you	you	PRON	PRP	_	7	nsubj	_	_
5	do	do	AUX	VBP	_	7	aux	_	_
6	n't	not	PART	RB	_	7	neg	_	_
7	get	get	VERB	VB	_	3	ccomp	_	_
8	the	the	DET	DT	_	9	det	_	_
9	coronavirus	coronavirus	NOUN	NN	_	7	dobj	_	_"
Hi yes I will take a Corona virus hold the virus,neutral,"# text = Hi yes I will take a Corona virus hold the virus
1	Hi	hi	INTJ	UH	_	5	intj	_	_
2	yes	yes	INTJ	UH	_	5	intj	_	_
3	I	I	PRON	PRP	_	5	nsubj	_	_
4	will	will	AUX	MD	_	5	aux	_	_
5	take	take	VERB	VB	_	0	ROOT	_	_
6	a	a	DET	DT	_	8	det	_	_
7	Corona	Corona	PROPN	NNP	_	8	compound	_	_
8	virus	virus	NOUN	NN	_	5	dobj	_	_
9	hold	hold	VERB	VB	_	5	dep	_	_
10	the	the	DET	DT	_	11	det	_	_
11	virus	virus	NOUN	NN	_	9	dobj	_	_"
"Informative thread on coronavirus. (This is only infections, not mortality, which is much, much, much lower.)",neutral,"# text = Informative thread on coronavirus.
1	Informative	informative	ADJ	JJ	_	2	amod	_	_
2	thread	thread	NOUN	NN	_	0	ROOT	_	_
3	on	on	ADP	IN	_	2	prep	_	_
4	coronavirus	coronavirus	NOUN	NN	_	3	pobj	_	_
5	.	.	PUNCT	.	_	2	punct	_	_

# text = (This is only infections, not mortality, which is much, much, much lower.)
1	(	(	PUNCT	-LRB-	_	3	punct	_	_
2	This	this	PRON	DT	_	3	nsubj	_	_
3	is	be	AUX	VBZ	_	0	ROOT	_	_
4	only	only	ADV	RB	_	5	advmod	_	_
5	infections	infection	NOUN	NNS	_	3	attr	_	_
6	,	,	PUNCT	,	_	5	punct	_	_
7	not	not	PART	RB	_	5	neg	_	_
8	mortality	mortality	NOUN	NN	_	5	appos	_	_
9	,	,	PUNCT	,	_	8	punct	_	_
10	which	which	PRON	WDT	_	11	nsubj	_	_
11	is	be	AUX	VBZ	_	8	relcl	_	_
12	much	much	ADJ	JJ	_	17	advmod	_	_
13	,	,	PUNCT	,	_	17	punct	_	_
14	much	much	ADJ	JJ	_	17	advmod	_	_
15	,	,	PUNCT	,	_	17	punct	_	_
16	much	much	ADV	RB	_	17	advmod	_	_
17	lower	low	ADJ	JJR	_	11	acomp	_	_
18	.	.	PUNCT	.	_	3	punct	_	_
19	)	)	PUNCT	-RRB-	_	3	punct	_	_"
Coronavirus: Foreign workers at Kaki Bukit dormitory told to stay away from work on Monday morning,negative,"# text = Coronavirus: Foreign workers at Kaki Bukit dormitory told to stay away from work on Monday morning
1	Coronavirus	coronavirus	NOUN	NN	_	9	dep	_	_
2	:	:	PUNCT	:	_	9	punct	_	_
3	Foreign	foreign	ADJ	JJ	_	4	amod	_	_
4	workers	worker	NOUN	NNS	_	9	nsubj	_	_
5	at	at	ADP	IN	_	4	prep	_	_
6	Kaki	Kaki	PROPN	NNP	_	7	compound	_	_
7	Bukit	Bukit	PROPN	NNP	_	8	compound	_	_
8	dormitory	dormitory	NOUN	NN	_	5	pobj	_	_
9	told	tell	VERB	VBD	_	0	ROOT	_	_
10	to	to	PART	TO	_	11	aux	_	_
11	stay	stay	VERB	VB	_	9	xcomp	_	_
12	away	away	ADV	RB	_	11	advmod	_	_
13	from	from	ADP	IN	_	12	prep	_	_
14	work	work	NOUN	NN	_	13	pobj	_	_
15	on	on	ADP	IN	_	11	prep	_	_
16	Monday	Monday	PROPN	NNP	_	17	compound	_	_
17	morning	morning	NOUN	NN	_	15	pobj	_	_"
"wouldn't mind getting coronavirus, 2 weeks on my own not working sounds great right about now #coronavirus",positive,"# text = wouldn't mind getting coronavirus, 2 weeks on my own not working sounds great right about now #coronavirus
1	would	would	AUX	MD	_	3	aux	_	_
2	n't	not	PART	RB	_	3	neg	_	_
3	mind	mind	VERB	VB	_	0	ROOT	_	_
4	getting	get	VERB	VBG	_	3	xcomp	_	_
5	coronavirus	coronavirus	NOUN	NN	_	4	dobj	_	_
6	,	,	PUNCT	,	_	5	punct	_	_
7	2	2	NUM	CD	_	8	nummod	_	_
8	weeks	week	NOUN	NNS	_	5	appos	_	_
9	on	on	ADP	IN	_	8	prep	_	_
10	my	my	PRON	PRP$	_	11	poss	_	_
11	own	own	ADJ	JJ	_	9	pobj	_	_
12	not	not	PART	RB	_	13	neg	_	_
13	working	work	VERB	VBG	_	3	xcomp	_	_
14	sounds	sound	VERB	VBZ	_	3	ccomp	_	_
15	great	great	ADJ	JJ	_	16	advmod	_	_
16	right	right	ADV	RB	_	14	advmod	_	_
17	about	about	ADP	IN	_	16	prep	_	_
18	now	now	ADV	RB	_	17	pcomp	_	_
19	#	#	SYM	$	_	20	punct	_	_
20	coronavirus	coronavirus	NOUN	NN	_	17	pobj	_	_"
A high-security lab in ground zero Wuhan could hold key to cure Coronavirus - world news - Hindustan Times,neutral,"# text = A high-security lab in ground zero Wuhan could hold key to cure Coronavirus - world news - Hindustan Times
1	A	a	DET	DT	_	5	det	_	_
2	high	high	ADJ	JJ	_	4	amod	_	_
3	-	-	PUNCT	HYPH	_	4	punct	_	_
4	security	security	NOUN	NN	_	5	compound	_	_
5	lab	lab	NOUN	NN	_	11	nsubj	_	_
6	in	in	ADP	IN	_	5	prep	_	_
7	ground	ground	NOUN	NN	_	6	pobj	_	_
8	zero	zero	NUM	CD	_	7	nummod	_	_
9	Wuhan	Wuhan	PROPN	NNP	_	5	appos	_	_
10	could	could	AUX	MD	_	11	aux	_	_
11	hold	hold	VERB	VB	_	0	ROOT	_	_
12	key	key	NOUN	NN	_	11	dobj	_	_
13	to	to	PART	TO	_	14	aux	_	_
14	cure	cure	VERB	VB	_	11	advcl	_	_
15	Coronavirus	Coronavirus	PROPN	NNP	_	17	compound	_	_
16	-	-	PUNCT	HYPH	_	17	punct	_	_
17	world	world	PROPN	NNP	_	18	compound	_	_
18	news	news	PROPN	NNP	_	14	dobj	_	_
19	-	-	PUNCT	:	_	18	punct	_	_
20	Hindustan	Hindustan	PROPN	NNP	_	21	compound	_	_
21	Times	Times	PROPN	NNP	_	14	dobj	_	_"
@HeatherKTVU @GavinNewsom Is great ! Looks like coronavirus is the earthquake we been waiting for,positive,"# text = @HeatherKTVU @GavinNewsom Is great !
1	@HeatherKTVU	@HeatherKTVU	PROPN	NNP	_	3	dep	_	_
2	@GavinNewsom	@gavinnewsom	NOUN	NN	_	3	nsubj	_	_
3	Is	be	AUX	VBZ	_	0	ROOT	_	_
4	great	great	ADJ	JJ	_	3	acomp	_	_
5	!	!	PUNCT	.	_	3	punct	_	_

# text = Looks like coronavirus is the earthquake we been waiting for
1	Looks	look	VERB	VBZ	_	0	ROOT	_	_
2	like	like	SCONJ	IN	_	4	mark	_	_
3	coronavirus	coronavirus	NOUN	NN	_	4	nsubj	_	_
4	is	be	AUX	VBZ	_	1	advcl	_	_
5	the	the	DET	DT	_	6	det	_	_
6	earthquake	earthquake	NOUN	NN	_	4	attr	_	_
7	we	we	PRON	PRP	_	9	nsubj	_	_
8	been	been	AUX	VBD	_	9	aux	_	_
9	waiting	wait	VERB	VBG	_	6	relcl	_	_
10	for	for	ADP	IN	_	9	prep	_	_"
Gorgeous graphics on the South Korean spread history #coronavirus #COVID19,positive,"# text = Gorgeous graphics on the South Korean spread history #coronavirus #COVID19
1	Gorgeous	gorgeous	ADJ	JJ	_	2	amod	_	_
2	graphics	graphic	NOUN	NNS	_	7	nsubj	_	_
3	on	on	ADP	IN	_	2	prep	_	_
4	the	the	DET	DT	_	6	det	_	_
5	South	south	ADJ	JJ	_	6	amod	_	_
6	Korean	korean	ADJ	JJ	_	3	pobj	_	_
7	spread	spread	NOUN	NN	_	10	compound	_	_
8	history	history	NOUN	NN	_	7	dobj	_	_
9	#	#	SYM	$	_	7	prep	_	_
10	coronavirus	coronavirus	NOUN	NN	_	0	ROOT	_	_
11	#	#	SYM	$	_	10	appos	_	_
12	COVID19	covid19	NOUN	NN	_	10	nummod	_	_"
"we at school this morning and the coronavirus hitting my area, life is good",positive,"# text = we at school this morning and the coronavirus hitting my area, life is good
1	we	we	PRON	PRP	_	14	dep	_	_
2	at	at	ADP	IN	_	1	prep	_	_
3	school	school	NOUN	NN	_	2	pobj	_	_
4	this	this	DET	DT	_	5	det	_	_
5	morning	morning	NOUN	NN	_	1	npadvmod	_	_
6	and	and	CCONJ	CC	_	1	cc	_	_
7	the	the	DET	DT	_	8	det	_	_
8	coronavirus	coronavirus	NOUN	NN	_	1	conj	_	_
9	hitting	hit	VERB	VBG	_	8	acl	_	_
10	my	my	PRON	PRP$	_	11	poss	_	_
11	area	area	NOUN	NN	_	9	dobj	_	_
12	,	,	PUNCT	,	_	14	punct	_	_
13	life	life	NOUN	NN	_	14	nsubj	_	_
14	is	be	AUX	VBZ	_	0	ROOT	_	_
15	good	good	ADJ	JJ	_	14	acomp	_	_"
Way worse than 'seasonal flu' #coronavirus #NCP #nCoV2019,negative,"# text = Way worse than 'seasonal flu' #coronavirus #NCP #nCoV2019
1	Way	way	NOUN	NN	_	2	npadvmod	_	_
2	worse	bad	ADJ	JJR	_	0	ROOT	_	_
3	than	than	ADP	IN	_	2	prep	_	_
4	'	'	PUNCT	``	_	3	punct	_	_
5	seasonal	seasonal	ADJ	JJ	_	6	amod	_	_
6	flu	flu	NOUN	NN	_	3	pobj	_	_
7	'	'	PUNCT	''	_	3	punct	_	_
8	#	#	SYM	$	_	9	compound	_	_
9	coronavirus	coronavirus	NOUN	NN	_	3	pobj	_	_
10	#	#	SYM	$	_	3	pobj	_	_
11	NCP	NCP	PROPN	NNP	_	3	pobj	_	_
12	#	#	SYM	$	_	3	punct	_	_
13	nCoV2019	ncov2019	X	FW	_	2	punct	_	_"
